BARBARA;All Gabonese are Carpenters, and all Element collectors are Gabonese.;All Element collectors are Carpenters.;entailment
BARBARA;All Gabonese are Cashiers, and all Element collectors are Gabonese.;All Element collectors are Cashiers.;entailment
BARBARA;All Gabonese are Clergys, and all Element collectors are Gabonese.;All Element collectors are Clergys.;entailment
BARBARA;All Georgians are Carpenters, and all Element collectors are Georgians.;All Element collectors are Carpenters.;entailment
BARBARA;All Georgians are Cashiers, and all Element collectors are Georgians.;All Element collectors are Cashiers.;entailment
BARBARA;All Georgians are Clergys, and all Element collectors are Georgians.;All Element collectors are Clergys.;entailment
BARBARA;All Germans are Carpenters, and all Element collectors are Germans.;All Element collectors are Carpenters.;entailment
BARBARA;All Germans are Cashiers, and all Element collectors are Germans.;All Element collectors are Cashiers.;entailment
BARBARA;All Germans are Clergys, and all Element collectors are Germans.;All Element collectors are Clergys.;entailment
BARBARA;All Haitians are Carpenters, and all Element collectors are Haitians.;All Element collectors are Carpenters.;entailment
BARBARA;All Haitians are Cashiers, and all Element collectors are Haitians.;All Element collectors are Cashiers.;entailment
BARBARA;All Haitians are Clergys, and all Element collectors are Haitians.;All Element collectors are Clergys.;entailment
BARBARA;All Gabonese are Carpenters, and all Films collectors are Gabonese.;All Films collectors are Carpenters.;entailment
BARBARA;All Gabonese are Cashiers, and all Films collectors are Gabonese.;All Films collectors are Cashiers.;entailment
BARBARA;All Gabonese are Clergys, and all Films collectors are Gabonese.;All Films collectors are Clergys.;entailment
BARBARA;All Georgians are Carpenters, and all Films collectors are Georgians.;All Films collectors are Carpenters.;entailment
BARBARA;All Georgians are Cashiers, and all Films collectors are Georgians.;All Films collectors are Cashiers.;entailment
BARBARA;All Georgians are Clergys, and all Films collectors are Georgians.;All Films collectors are Clergys.;entailment
BARBARA;All Germans are Carpenters, and all Films collectors are Germans.;All Films collectors are Carpenters.;entailment
BARBARA;All Germans are Cashiers, and all Films collectors are Germans.;All Films collectors are Cashiers.;entailment
BARBARA;All Germans are Clergys, and all Films collectors are Germans.;All Films collectors are Clergys.;entailment
BARBARA;All Haitians are Carpenters, and all Films collectors are Haitians.;All Films collectors are Carpenters.;entailment
BARBARA;All Haitians are Cashiers, and all Films collectors are Haitians.;All Films collectors are Cashiers.;entailment
BARBARA;All Haitians are Clergys, and all Films collectors are Haitians.;All Films collectors are Clergys.;entailment
BARBARA;All Gabonese are Carpenters, and all Knife collectors are Gabonese.;All Knife collectors are Carpenters.;entailment
BARBARA;All Gabonese are Cashiers, and all Knife collectors are Gabonese.;All Knife collectors are Cashiers.;entailment
